Team,Background,Font
Air Force,#003087,#8a8d8f
Alabama,#828A8F,#9e1b32
Alabama A&M,#660000,#FFFFFF
Alcorn State,#46166A,#FFFFFF
Arizona,#AB0520,#0C234B
Arizona State,#990033,#FFB310
Arkansas,#9D2235,#FFFFFF
Arkansas State,#cc092f,#000000
Army,#2C2A29,#FFFFFF
Auburn,#0C2340,#F26522
Austin Peay,#BA0C2F,#FFFFFF
Baylor,#003015,#fecb00
Belmont,#00205B,#FFFFFF
Bethune - Cookman,#6F263D,#FFFFFF
Boise State,#09347A,#F1632A
Boston College,#910039,#B38F59
Brown,#4E3629,#FFFFFF
Bucknell,#003865,#FFFFFF
Butler,#13294B,#FFFFFF
BYU,#002255,#FFFFFF
California,#FFC72C,#041E42
Campbell,#1E252B,#FFFFFF
Central Arkansas,#582C83,#FFFFFF
Central Michigan,#6a0032,#ffc82e
Charleston Southern,#A8996E,#002855
Chattanooga,#00386B,#FFFFFF
Citadel,#1F3A60,#FFFFFF
Clemson,#522D80,#F56600
Coastal Carolina,#006F71,#FFFFFF
Colgate,#821019,#FFFFFF
Colorado,#000000,#CFB87C
Colorado State,#1E4D2B,#C8C372
Columbia,#99CAEA,#000000
Cornell,#B31B1B,#FFFFFF
Dartmouth,#00693E,#FFFFFF
Davidson,#AC1A2F,#FFFFFF
Dayton,#002F87,#FFFFFF
Delaware,#00539F,#FFFFFF
Delaware State,#EE3124,#FFFFFF
Duke,#001A57,#FFFFFF
Eastern Kentucky,#4C151E,#FFFFFF
Eastern Michigan,#FFFFFF,#006633
Eastern Washington,#A10022,#FFFFFF
ETSU,#041E42,#FFFFFF
Florida,#0021a5,#FA4616
Florida A&M,#008344,#FFFFFF
Florida Atlantic,#003366,#CC0000
Florida International,#081E3F,#FFFFFF
Fresno State,#DB0032,#002E6D
FSU,#782F40,#FFFFFF
Furman,#582C83,#FFFFFF
Georgetown,#041E42,#FFFFFF
Georgia,#DA291C,#000000
Georgia Southern,#011E41,#FFFFFF
Georgia State,#FFFFFF,#0039A6
Georgia Tech,#C59353,#FFFFFF
Grambling State,#000000,#FFFFFF
Harvard,#A31F36,#FFFFFF
Hawaii,#024731,#FFFFFF
Holy Cross,#602D89,#FFFFFF
Howard,#003A63,#FFFFFF
Idaho,#B3A369,#000000
Illinois,#e04e39,#13294b
Indiana,#990000,#EEEDEB
Iowa,#FFE100,#000000
Iowa State,#a6192e,#FDC82F
Jackson State,#002147,#FFFFFF
Jacksonville State,#CC0000,#FFFFFF
James Madison,#450084,#FFFFFF
Kansas,#0051BA,#E8000D
Kansas State,#512888,#FFFFFF
Kennesaw State,#0B1315,#FFFFFF
Kentucky,#0033A0,#FFFFFF
Lehigh,#653819,#FFFFFF
Louisiana,#CE181E,#FFFFFF
Louisiana Monroe,#840029,#FFFFFF
Louisiana Tech,#003087,#CB333B
Louisville,#AD0000,#000000
LSU,#ffc72c,#582c83
Maine,#003263,#FFFFFF
Marshall,#006140,#FFFFFF
Maryland,#c8102e,#FFFFFF
Memphis,#0D3182,#888C8F
Miami,#005030,#FFFFFF
Michigan,#00274c,#ffcb05
