LeagueID,LeagueName,DraftID,Round,Pick_No,OverallPick,Picked_By,RosterID,PlayerID,FirstName,LastName,Team,Position,Status,YearsExp
644097339790827520,NCAA OHIO VALLEY,661770331417055232,1,1,1,594242128851296256,10,7553,Kyle,Pitts,ATL,TE,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,1,2,2,638193564806897664,11,7528,Najee,Harris,PIT,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,1,3,3,472879969664495616,4,7564,Ja'Marr,Chase,CIN,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,1,4,4,331558449374593024,6,7543,Travis,Etienne,JAX,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,1,5,5,571753677428977664,1,7526,Jaylen,Waddle,MIA,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,1,6,6,635700695584043008,7,7525,DeVonta,Smith,PHI,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,1,7,7,601198801197260800,2,7588,Javonte,Williams,DEN,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,1,8,8,331558449374593024,6,7523,Trevor,Lawrence,JAX,QB,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,1,9,9,468944645166985216,3,7571,Rashod,Bateman,BAL,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,1,10,10,69768813763510272,8,7606,Kadarius,Toney,NYG,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,1,11,11,594242128851296256,10,7565,Terrace,Marshall,CAR,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,1,12,12,347683464398749696,9,7538,Zach,Wilson,NYJ,QB,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,2,13,25,347683464398749696,9,7596,Elijah,Moore,NYJ,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,2,14,26,327689364916146176,12,7610,Trey,Lance,SF,QB,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,2,15,27,69768813763510272,8,7593,Trey,Sermon,SF,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,661770331417055232,2,16,28,468944645166985216,3,7562,Tutu,Atwell,LAR,WR,Active,0
