Year,LeagueID,LeagueName,Division1,Division2
2021,652823294856224768,NCAA PAC 12,NORTH,SOUTH
2021,652823058658209792,NCAA ACC,ATLANTIC,COASTAL
2021,652822938654937088,NCAA BIG SKY,Frontier,Colonies
2021,652822871495749632,NCAA BIG 12,HEAT,WIND
2021,652822788075229184,NCAA USA,GULF,TWISTER
2021,652822724795764736,NCAA BIG EAST & CO.,MIDEAST,NORTHEAST
2021,652822666251710464,NCAA IVY,RICH,SMART
2021,652822592985579520,NCAA PIONEER,PATRIOT,FREEDOM
2021,652822508415823872,NCAA WILD,PLAINS,VALLEY
2021,652822437578215424,NCAA SUN BELT,BIBLE,REBEL
2021,652822356867264512,NCAA SEC,EAST,WEST
2021,652822293206081536,NCAA MOUNTAIN WEST,SAINT,SIN
2021,652822152327815168,NCAA HISTORICALLY BLACK,Mississippi River,Hurricane
2021,652821876346810368,NCAA BIG 10,EAST,WEST
2021,644097339790827520,NCAA OHIO VALLEY,Yankee,Southern
2022,787469647648763904,NCAA MOUNTAIN WEST,SAINT,SIN
2022,787469620847190016,NCAA BIG EAST & CO.,MIDEAST,NORTHEAST
2022,787469585417945088,NCAA OHIO VALLEY,Yankee,Southern
2022,787469538403921920,NCAA HISTORICALLY BLACK,Mississippi River,Hurricane
2022,787469508792152064,NCAA WILD,PLAINS,VALLEY
2022,787469482338717696,NCAA PIONEER,PATRIOT,FREEDOM
2022,787469399828365312,NCAA IVY,RICH,SMART
2022,787469368543035392,NCAA USA,GULF,TWISTER
2022,787428947523657728,NCAA BIG SKY,Frontier,Colonies
2022,787428905404465152,NCAA SUN BELT,BIBLE,REBEL
2022,787428859766263808,NCAA SEC,EAST,WEST
2022,787428826962571264,NCAA BIG 12,HEAT,WIND
2022,787122703772614656,NCAA ACC,ATLANTIC,COASTAL
2022,787122632301649920,NCAA PAC 12,NORTH,SOUTH
2022,787122556279885824,NCAA BIG 10,EAST,WEST
2023,921152489498468352,NCAA MOUNTAIN WEST,SAINT,SIN
2023,921152450353090560,NCAA OHIO VALLEY,Yankee,Southern
2023,921152417742311424,NCAA HISTORICALLY BLACK,Mississippi River,Hurricane
2023,921152384695357440,NCAA USA,GULF,TWISTER
2023,921152355658248192,NCAA IVY,RICH,SMART
2023,921152324230262784,NCAA WILD,PLAINS,VALLEY
2023,921152273420525568,NCAA BIG SKY,Frontier,Colonies
2023,921152239639564288,NCAA PIONEER,PATRIOT,FREEDOM
2023,921152207104335872,NCAA SUN BELT,BIBLE,REBEL
2023,921152169275957248,NCAA BIG EAST & CO.,MIDEAST,NORTHEAST
2023,921152118084460544,NCAA SEC,EAST,WEST
2023,921152073054457856,NCAA BIG 12,HEAT,WIND
2023,921152041332871168,NCAA ACC,ATLANTIC,COASTAL
2023,921151976868155392,NCAA PAC 12,NORTH,SOUTH
2023,919305562058285056,NCAA BIG 10,EAST,WEST
2024,1051381610739847168,NCAA BIG EAST & CO.,MIDEAST,NORTHEAST
2024,1051381505785810944,NCAA BIG SKY,Frontier,Colonies
2024,1051381408469598208,NCAA IVY,RICH,SMART
2024,1051381274868289536,NCAA OHIO VALLEY,Yankee,Southern
2024,1051381233009295360,NCAA MOUNTAIN WEST,SAINT,SIN
2024,1051228339672961024,NCAA BIG 10,EAST,WEST
2024,1051381777098473472,NCAA PAC 12,NORTH,SOUTH
2024,1051381725097500672,NCAA ACC,ATLANTIC,COASTAL
2024,1051381689932468224,NCAA BIG 12,HEAT,WIND
2024,1051381651198078976,NCAA SEC,EAST,WEST
2024,1051381575037931520,NCAA SUN BELT,BIBLE,REBEL
2024,1051381539596021760,NCAA PIONEER,PATRIOT,FREEDOM
2024,1051381464723570688,NCAA WILD,PLAINS,VALLEY
2024,1051381357190053888,NCAA USA,GULF,TWISTER
2024,1051381320515002368,NCAA HISTORICALLY BLACK,Mississippi River,Hurricane
2025,1197684159036805120,NCAA OHIO VALLEY,Yankee,Southern
2025,1197683891784134656,NCAA MOUNTAIN WEST,SAINT,SIN
2025,1197683812742483968,NCAA HISTORICALLY BLACK,Mississippi River,Hurricane
2025,1197683737584746496,NCAA USA,GULF,TWISTER
2025,1197683676763148288,NCAA IVY,RICH,SMART
2025,1197683625282244608,NCAA WILD,PLAINS,VALLEY
2025,1197683509209083904,NCAA BIG SKY,Frontier,Colonies
2025,1192383184619986944,NCAA PIONEER,PATRIOT,FREEDOM
2025,1192383143762542592,NCAA SUN BELT,BIBLE,REBEL
2025,1192383107391332352,NCAA BIG 12,HEAT,WIND
2025,1192383069776863232,NCAA ACC,ATLANTIC,COASTAL
2025,1192383038721757184,NCAA PAC 12,NORTH,SOUTH
2025,1188461140190814208,NCAA SEC,EAST,WEST
2025,1187162832969211904,NCAA BIG 10,EAST,WEST
2025,1183984327853932544,NCAA BIG EAST & CO.,MIDEAST,NORTHEAST
2026,1331775206619885568,NCAA BIG EAST & CO.,MIDEAST,NORTHEAST
2026,1331775170712444928,NCAA SEC,EAST,WEST
2026,1331775106527006720,NCAA PAC 12,NORTH,SOUTH
2026,1331774915392577536,NCAA ACC,ATLANTIC,COASTAL
2026,1331774880181399552,NCAA BIG 12,HEAT,WIND
2026,1331774846710849536,NCAA SUN BELT,BIBLE,REBEL
2026,1331774804222545920,NCAA PIONEER,PATRIOT,FREEDOM
2026,1331774741488369664,NCAA IVY,RICH,SMART
2026,1331774695346823168,NCAA USA,GULF,TWISTER
2026,1331774630620332032,NCAA HISTORICALLY BLACK,Mississippi River,Hurricane
2026,1331774599196585984,NCAA MOUNTAIN WEST,SAINT,SIN
2026,1331774544905510912,NCAA OHIO VALLEY,Yankee,Southern
2026,1331774454493122560,NCAA WILD,PLAINS,VALLEY
2026,1316899936696016896,NCAA BIG 10,EAST,WEST
2026,1316899756005412864,NCAA BIG SKY,Frontier,Colonies
