Year,LeagueID,LeagueName,Week,RosterID,OwnerID,OwnerName,OpponentRosterID,OpponentName,PointsFor,PointsAgainst,Outcome,IsRegularSeason,StarterPoints,BenchPoints
2021,652823294856224768,NCAA PAC 12,1,1,437465313911500800,kfitch630,11,seniormeow,201.92,143.88,Win,True,201.92000000000002,-2.842170943040401e-14
2021,652823294856224768,NCAA PAC 12,1,11,76460245878456320,seniormeow,1,kfitch630,143.88,201.92,Loss,True,143.88000000000002,-2.842170943040401e-14
2021,652823294856224768,NCAA PAC 12,1,2,709857172258881536,KamaraGOAT41,8,gerad,124.36,178.86,Loss,True,124.35999999999999,1.4210854715202004e-14
2021,652823294856224768,NCAA PAC 12,1,8,449317906098941952,gerad,2,KamaraGOAT41,178.86,124.36,Win,True,178.86,0.0
2021,652823294856224768,NCAA PAC 12,1,3,470320542868566016,Dunebuggy619,5,cooperthach,172.02,134.66,Win,True,172.02,0.0
2021,652823294856224768,NCAA PAC 12,1,5,619963570297352192,cooperthach,3,Dunebuggy619,134.66,172.02,Loss,True,134.66000000000003,-2.842170943040401e-14
2021,652823294856224768,NCAA PAC 12,1,4,477666723663704064,chzhead412,10,ImagineWiigons,129.22,145.68,Loss,True,129.22000000000003,-2.842170943040401e-14
2021,652823294856224768,NCAA PAC 12,1,10,534619662650601472,ImagineWiigons,4,chzhead412,145.68,129.22,Win,True,145.68,0.0
2021,652823294856224768,NCAA PAC 12,1,6,338823136923381760,samggannon,9,ScottyW13,153.1,72.82,Win,True,153.1,0.0
2021,652823294856224768,NCAA PAC 12,1,9,519390092788297728,ScottyW13,6,samggannon,72.82,153.1,Loss,True,72.82,0.0
2021,652823294856224768,NCAA PAC 12,1,7,597246797479469056,wrightc214,12,lmerkouSaints,160.4,182.56,Loss,True,160.4,0.0
2021,652823294856224768,NCAA PAC 12,1,12,450806182555152384,lmerkouSaints,7,wrightc214,182.56,160.4,Win,True,182.56,0.0
2021,652823294856224768,NCAA PAC 12,2,1,437465313911500800,kfitch630,2,KamaraGOAT41,129.08,164.8,Loss,True,129.07999999999998,2.842170943040401e-14
2021,652823294856224768,NCAA PAC 12,2,2,709857172258881536,KamaraGOAT41,1,kfitch630,164.8,129.08,Win,True,164.79999999999998,2.842170943040401e-14
2021,652823294856224768,NCAA PAC 12,2,3,470320542868566016,Dunebuggy619,10,ImagineWiigons,116.4,108.72,Win,True,116.39999999999999,1.4210854715202004e-14
2021,652823294856224768,NCAA PAC 12,2,10,534619662650601472,ImagineWiigons,3,Dunebuggy619,108.72,116.4,Loss,True,108.72000000000001,-1.4210854715202004e-14
2021,652823294856224768,NCAA PAC 12,2,4,477666723663704064,chzhead412,6,samggannon,144.7,196.16,Loss,True,144.7,0.0
2021,652823294856224768,NCAA PAC 12,2,6,338823136923381760,samggannon,4,chzhead412,196.16,144.7,Win,True,196.16000000000003,-2.842170943040401e-14
2021,652823294856224768,NCAA PAC 12,2,5,619963570297352192,cooperthach,9,ScottyW13,173.22,134.3,Win,True,173.21999999999997,2.842170943040401e-14
2021,652823294856224768,NCAA PAC 12,2,9,519390092788297728,ScottyW13,5,cooperthach,134.3,173.22,Loss,True,134.3,0.0
2021,652823294856224768,NCAA PAC 12,2,7,597246797479469056,wrightc214,11,seniormeow,130.86,117.48,Win,True,130.86,0.0
2021,652823294856224768,NCAA PAC 12,2,11,76460245878456320,seniormeow,7,wrightc214,117.48,130.86,Loss,True,117.48,0.0
2021,652823294856224768,NCAA PAC 12,2,8,449317906098941952,gerad,12,lmerkouSaints,110.0,126.14,Loss,True,109.99999999999999,1.4210854715202004e-14
2021,652823294856224768,NCAA PAC 12,2,12,450806182555152384,lmerkouSaints,8,gerad,126.14,110.0,Win,True,126.14000000000001,-1.4210854715202004e-14
2021,652823294856224768,NCAA PAC 12,3,1,437465313911500800,kfitch630,12,lmerkouSaints,134.12,138.44,Loss,True,134.12,0.0
2021,652823294856224768,NCAA PAC 12,3,12,450806182555152384,lmerkouSaints,1,kfitch630,138.44,134.12,Win,True,138.44,0.0
2021,652823294856224768,NCAA PAC 12,3,2,709857172258881536,KamaraGOAT41,11,seniormeow,118.64,131.78,Loss,True,118.63999999999999,1.4210854715202004e-14
2021,652823294856224768,NCAA PAC 12,3,11,76460245878456320,seniormeow,2,KamaraGOAT41,131.78,118.64,Win,True,131.78,0.0
2021,652823294856224768,NCAA PAC 12,3,3,470320542868566016,Dunebuggy619,6,samggannon,81.3,119.28,Loss,True,81.30000000000001,-1.4210854715202004e-14
2021,652823294856224768,NCAA PAC 12,3,6,338823136923381760,samggannon,3,Dunebuggy619,119.28,81.3,Win,True,119.28000000000002,-1.4210854715202004e-14
2021,652823294856224768,NCAA PAC 12,3,4,477666723663704064,chzhead412,9,ScottyW13,143.66,152.04,Loss,True,143.66000000000003,-2.842170943040401e-14
2021,652823294856224768,NCAA PAC 12,3,9,519390092788297728,ScottyW13,4,chzhead412,152.04,143.66,Win,True,152.04,0.0
2021,652823294856224768,NCAA PAC 12,3,5,619963570297352192,cooperthach,10,ImagineWiigons,157.72,154.4,Win,True,157.72000000000003,-2.842170943040401e-14
2021,652823294856224768,NCAA PAC 12,3,10,534619662650601472,ImagineWiigons,5,cooperthach,154.4,157.72,Loss,True,154.4,0.0
2021,652823294856224768,NCAA PAC 12,3,7,597246797479469056,wrightc214,8,gerad,184.22,117.44,Win,True,184.22,0.0
2021,652823294856224768,NCAA PAC 12,3,8,449317906098941952,gerad,7,wrightc214,117.44,184.22,Loss,True,117.44,0.0
2021,652823294856224768,NCAA PAC 12,4,1,437465313911500800,kfitch630,8,gerad,134.42,91.32,Win,True,134.42000000000002,-2.842170943040401e-14
2021,652823294856224768,NCAA PAC 12,4,8,449317906098941952,gerad,1,kfitch630,91.32,134.42,Loss,True,91.32,0.0
2021,652823294856224768,NCAA PAC 12,4,2,709857172258881536,KamaraGOAT41,7,wrightc214,166.98,129.02,Win,True,166.98,0.0
