Year,LeagueID,LeagueName,Week,RosterID,OwnerID,OwnerName,OpponentRosterID,OpponentName,PointsFor,PointsAgainst,Outcome,IsRegularSeason,StarterPoints,BenchPoints
2026,1331775206619885568,NCAA BIG EAST & CO.,1,1,1087519270663258112,sblau24,2,hurlken,123.0,93.14,Win,True,123.0,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,1,2,1171256102760251392,hurlken,1,sblau24,93.14,123.0,Loss,True,93.13999999999999,1.4210854715202004e-14
2026,1331775206619885568,NCAA BIG EAST & CO.,1,3,718415247781732352,averagedude23,9,JEANTY,149.56,157.6,Loss,True,149.56,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,1,9,802480422482206720,JEANTY,3,averagedude23,157.6,149.56,Win,True,157.6,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,1,4,456129190995947520,vinceA762,6,joonbug,160.32,108.96,Win,True,160.32000000000002,-2.842170943040401e-14
2026,1331775206619885568,NCAA BIG EAST & CO.,1,6,443323427143544832,joonbug,4,vinceA762,108.96,160.32,Loss,True,108.96000000000001,-1.4210854715202004e-14
2026,1331775206619885568,NCAA BIG EAST & CO.,1,5,836025225756934144,NastyS8ntChance,8,Claser,121.48,128.7,Loss,True,121.47999999999999,1.4210854715202004e-14
2026,1331775206619885568,NCAA BIG EAST & CO.,1,8,456167283761344512,Claser,5,NastyS8ntChance,128.7,121.48,Win,True,128.7,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,1,7,456159345906806784,CodeKhaos,11,Ianiners,187.8,114.16,Win,True,187.8,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,1,11,456182244336201728,Ianiners,7,CodeKhaos,114.16,187.8,Loss,True,114.16,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,1,10,1336086766108549120,MacATac,12,ryno,134.76,131.36,Win,True,134.76,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,1,12,64174089933570048,ryno,10,MacATac,131.36,134.76,Loss,True,131.35999999999996,5.684341886080802e-14
2026,1331775206619885568,NCAA BIG EAST & CO.,2,1,1087519270663258112,sblau24,11,Ianiners,99.88,131.78,Loss,True,99.88,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,2,11,456182244336201728,Ianiners,1,sblau24,131.78,99.88,Win,True,131.78000000000003,-2.842170943040401e-14
2026,1331775206619885568,NCAA BIG EAST & CO.,2,2,1171256102760251392,hurlken,8,Claser,58.48,132.06,Loss,True,58.48,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,2,8,456167283761344512,Claser,2,hurlken,132.06,58.48,Win,True,132.06,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,2,3,718415247781732352,averagedude23,12,ryno,132.84,152.22,Loss,True,132.84,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,2,12,64174089933570048,ryno,3,averagedude23,152.22,132.84,Win,True,152.22,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,2,4,456129190995947520,vinceA762,9,JEANTY,137.08,117.08,Win,True,137.08,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,2,9,802480422482206720,JEANTY,4,vinceA762,117.08,137.08,Loss,True,117.08,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,2,5,836025225756934144,NastyS8ntChance,7,CodeKhaos,118.1,109.3,Win,True,118.10000000000001,-1.4210854715202004e-14
2026,1331775206619885568,NCAA BIG EAST & CO.,2,7,456159345906806784,CodeKhaos,5,NastyS8ntChance,109.3,118.1,Loss,True,109.3,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,2,6,443323427143544832,joonbug,10,MacATac,148.98,113.52,Win,True,148.98,0.0
2026,1331775206619885568,NCAA BIG EAST & CO.,2,10,1336086766108549120,MacATac,6,joonbug,113.52,148.98,Loss,True,113.52000000000001,-1.4210854715202004e-14
2026,1331775206619885568,NCAA BIG EAST & CO.,3,1,1087519270663258112,sblau24,8,Claser,0.0,0.0,,True,0.0,0.0
