Year,LeagueID,LeagueName,RosterID,OwnerID,OwnerName,Division,DivisionName,Wins,Losses,PointsFor,PointsAgainst
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,2,SOUTH,3,8,1418.08,1534.64
2021,652823294856224768,NCAA PAC 12,2,709857172258881536,KamaraGOAT41,2,SOUTH,6,5,1385.74,1362.82
2021,652823294856224768,NCAA PAC 12,3,470320542868566016,Dunebuggy619,1,NORTH,6,5,1284.3,1335.06
2021,652823294856224768,NCAA PAC 12,4,477666723663704064,chzhead412,1,NORTH,4,7,1507.18,1484.6
2021,652823294856224768,NCAA PAC 12,5,619963570297352192,cooperthach,1,NORTH,5,6,1355.68,1422.96
2021,652823294856224768,NCAA PAC 12,6,338823136923381760,samggannon,1,NORTH,9,2,1601.24,1318.86
2021,652823294856224768,NCAA PAC 12,7,597246797479469056,wrightc214,2,SOUTH,8,3,1631.98,1434.36
2021,652823294856224768,NCAA PAC 12,8,449317906098941952,gerad,2,SOUTH,3,8,1128.14,1396.38
2021,652823294856224768,NCAA PAC 12,9,519390092788297728,ScottyW13,1,NORTH,3,8,1272.72,1493.26
2021,652823294856224768,NCAA PAC 12,10,534619662650601472,ImagineWiigons,1,NORTH,8,3,1541.72,1254.68
2021,652823294856224768,NCAA PAC 12,11,76460245878456320,seniormeow,2,SOUTH,5,6,1489.78,1509.74
2021,652823294856224768,NCAA PAC 12,12,450806182555152384,lmerkouSaints,2,SOUTH,6,5,1363.4,1432.6
2021,652823058658209792,NCAA ACC,1,571754879825395712,ChrisW21,2,COASTAL,4,7,1219.8,1552.3
2021,652823058658209792,NCAA ACC,2,568115266901286912,MattyBent,2,COASTAL,7,4,1643.74,1475.14
2021,652823058658209792,NCAA ACC,3,519664508596187136,NewGOAT15,2,COASTAL,2,9,1303.26,1527.52
2021,652823058658209792,NCAA ACC,4,455836851501002752,landonh12,2,COASTAL,9,2,1853.92,1341.38
2021,652823058658209792,NCAA ACC,5,468618720470626304,Yarby,1,ATLANTIC,4,7,1282.16,1401.4
2021,652823058658209792,NCAA ACC,6,463453800313647104,WhiskyScientist,1,ATLANTIC,4,7,1424.86,1489.84
2021,652823058658209792,NCAA ACC,7,453658285061435392,fatalbeast,2,COASTAL,8,3,1457.54,1388.9
2021,652823058658209792,NCAA ACC,8,456168604006608896,eperedetto,1,ATLANTIC,5,6,1339.32,1456.34
2021,652823058658209792,NCAA ACC,9,412321968218451968,B1GNate35,2,COASTAL,5,6,1264.56,1365.12
2021,652823058658209792,NCAA ACC,10,625717955707117568,superman14,1,ATLANTIC,6,5,1405.42,1442.6
2021,652823058658209792,NCAA ACC,11,458070829909929984,Campbell8,1,ATLANTIC,4,7,1384.82,1349.9
2021,652823058658209792,NCAA ACC,12,302575527556825088,dilbennett,1,ATLANTIC,8,3,1635.32,1424.28
2021,652822938654937088,NCAA BIG SKY,1,516266187571630080,PedroCal,2,Colonies,6,5,1490.72,1505.6
2021,652822938654937088,NCAA BIG SKY,2,439255136309604352,PapaCrowther,2,Colonies,9,2,1682.46,1368.5
2021,652822938654937088,NCAA BIG SKY,3,449327253101211648,Beastchewy15,2,Colonies,3,8,1261.96,1520.96
2021,652822938654937088,NCAA BIG SKY,4,519439276311531520,Elestial,1,Frontier,6,5,1361.38,1381.58
2021,652822938654937088,NCAA BIG SKY,5,461273516759576576,Julian1993,2,Colonies,9,2,1800.78,1556.04
2021,652822938654937088,NCAA BIG SKY,6,424793511431262208,Elwayluva7,1,Frontier,5,6,1489.22,1541.76
2021,652822938654937088,NCAA BIG SKY,7,78892531970359296,fballfreek80,2,Colonies,6,5,1581.44,1575.66
2021,652822938654937088,NCAA BIG SKY,8,437413803001376768,Vitus,1,Frontier,1,10,1322.76,1535.12
2021,652822938654937088,NCAA BIG SKY,9,448641292377780224,Pinky7373,1,Frontier,3,8,1247.96,1471.24
2021,652822938654937088,NCAA BIG SKY,10,450023004458446848,DaLegend,2,Colonies,7,4,1587.56,1496.94
2021,652822938654937088,NCAA BIG SKY,11,604388962898866176,mgrant55,1,Frontier,5,6,1435.12,1493.52
2021,652822938654937088,NCAA BIG SKY,12,519767126595325952,mssullivan2022,1,Frontier,6,5,1597.42,1411.86
2021,652822871495749632,NCAA BIG 12,1,446530486903238656,BigSexy3422,1,HEAT,3,8,1265.42,1542.3
2021,652822871495749632,NCAA BIG 12,2,667752373111824384,trev7293,2,WIND,6,4,1321.02,1442.62
2021,652822871495749632,NCAA BIG 12,3,468501524721430528,agupta03,2,WIND,6,4,1428.28,1398.28
2021,652822871495749632,NCAA BIG 12,4,425362114291437568,deadheadshane,1,HEAT,6,5,1674.8,1411.7
2021,652822871495749632,NCAA BIG 12,5,464117743042424832,robertlouis7,1,HEAT,8,3,1614.2,1472.84
2021,652822871495749632,NCAA BIG 12,6,335910160469880832,elianbruger,1,HEAT,5,6,1457.4,1479.1
2021,652822871495749632,NCAA BIG 12,7,425386065373691904,Frankeen,2,WIND,1,10,938.6,1377.1
2021,652822871495749632,NCAA BIG 12,8,543929284962770944,alicho,1,HEAT,6,5,1598.84,1586.92
2021,652822871495749632,NCAA BIG 12,9,453711063846744064,rchau56,2,WIND,9,2,1825.08,1408.64
2021,652822871495749632,NCAA BIG 12,10,460518714907815936,linkoftime1,2,WIND,2,9,1220.36,1494.44
2021,652822871495749632,NCAA BIG 12,11,619190004979138560,CousinMose15,1,HEAT,5,6,1413.5,1466.98
2021,652822871495749632,NCAA BIG 12,12,446397791615315968,FancyLlama,2,WIND,8,3,1556.02,1232.6
2021,652822788075229184,NCAA USA,1,389658700735868928,dh671,2,TWISTER,4,7,1445.74,1459.12
