Year,LeagueID,LeagueName,RosterID,OwnerID,OwnerName,Division,DivisionName,Wins,Losses,PointsFor,PointsAgainst
2026,1331775206619885568,NCAA BIG EAST & CO.,1,1087519270663258112,sblau24,2,NORTHEAST,1,1,222.88,224.92
2026,1331775206619885568,NCAA BIG EAST & CO.,2,1171256102760251392,hurlken,2,NORTHEAST,0,2,151.62,255.06
2026,1331775206619885568,NCAA BIG EAST & CO.,3,718415247781732352,averagedude23,1,MIDEAST,0,2,282.4,309.82
2026,1331775206619885568,NCAA BIG EAST & CO.,4,456129190995947520,vinceA762,1,MIDEAST,2,0,297.4,226.04
2026,1331775206619885568,NCAA BIG EAST & CO.,5,836025225756934144,NastyS8ntChance,2,NORTHEAST,1,1,239.58,238.0
2026,1331775206619885568,NCAA BIG EAST & CO.,6,443323427143544832,joonbug,1,MIDEAST,1,1,257.94,273.84
2026,1331775206619885568,NCAA BIG EAST & CO.,7,456159345906806784,CodeKhaos,2,NORTHEAST,1,1,297.1,232.26
2026,1331775206619885568,NCAA BIG EAST & CO.,8,456167283761344512,Claser,2,NORTHEAST,2,0,260.76,179.96
2026,1331775206619885568,NCAA BIG EAST & CO.,9,802480422482206720,JEANTY,1,MIDEAST,1,1,274.68,286.64
2026,1331775206619885568,NCAA BIG EAST & CO.,10,1336086766108549120,MacATac,1,MIDEAST,1,1,248.28,280.34
2026,1331775206619885568,NCAA BIG EAST & CO.,11,456182244336201728,Ianiners,2,NORTHEAST,1,1,245.94,287.68
2026,1331775206619885568,NCAA BIG EAST & CO.,12,64174089933570048,ryno,1,MIDEAST,1,1,283.58,267.6
2026,1331775170712444928,NCAA SEC,1,441458152391569408,tedman546,1,EAST,0,2,199.48,239.8
2026,1331775170712444928,NCAA SEC,2,508516852143693824,errand,2,WEST,1,1,327.38,295.98
2026,1331775170712444928,NCAA SEC,3,457957045534978048,ChadLowe,1,EAST,0,2,231.86,260.76
2026,1331775170712444928,NCAA SEC,4,1289101953728540672,egbdf,2,WEST,2,0,346.14,248.9
2026,1331775170712444928,NCAA SEC,5,562032371824951296,ryank45,2,WEST,0,2,205.06,286.42
2026,1331775170712444928,NCAA SEC,6,510556455562792960,thatmansanti,2,WEST,2,0,385.22,212.78
2026,1331775170712444928,NCAA SEC,7,461680102409760768,kodakjack,1,EAST,2,0,252.54,211.52
2026,1331775170712444928,NCAA SEC,8,970737030692937728,Stumpy44,1,EAST,2,0,251.44,218.74
2026,1331775170712444928,NCAA SEC,9,1136057205582667776,Neilsondug,1,EAST,0,2,231.28,318.82
2026,1331775170712444928,NCAA SEC,10,1314486339378368512,DELETED-RO7nDD9xa8Gm7,1,EAST,2,0,315.4,232.36
2026,1331775170712444928,NCAA SEC,11,560284880620699648,devbovino,2,WEST,1,1,181.42,325.42
2026,1331775170712444928,NCAA SEC,12,445468333035220992,JosephMarin07,2,WEST,0,2,239.3,315.02
2026,1331775106527006720,NCAA PAC 12,1,917575404431831040,nshox2,2,SOUTH,0,2,180.38,282.14
2026,1331775106527006720,NCAA PAC 12,2,709857172258881536,KamaraGOAT41,2,SOUTH,0,2,320.38,388.04
2026,1331775106527006720,NCAA PAC 12,3,470320542868566016,Dunebuggy619,1,NORTH,1,1,296.78,242.72
2026,1331775106527006720,NCAA PAC 12,4,477666723663704064,chzhead412,1,NORTH,2,0,311.96,222.94
2026,1331775106527006720,NCAA PAC 12,5,454372407956729856,laynemercer,1,NORTH,0,2,187.62,273.18
2026,1331775106527006720,NCAA PAC 12,6,338823136923381760,samggannon,1,NORTH,1,1,199.76,244.96
2026,1331775106527006720,NCAA PAC 12,7,597246797479469056,wrightc214,2,SOUTH,1,1,356.08,345.28
2026,1331775106527006720,NCAA PAC 12,8,460348260653985792,keppin,2,SOUTH,2,0,294.64,227.7
2026,1331775106527006720,NCAA PAC 12,9,519390092788297728,ScottyW13,1,NORTH,0,2,151.24,188.06
2026,1331775106527006720,NCAA PAC 12,10,534619662650601472,ImagineWiigons,1,NORTH,2,0,192.24,167.74
2026,1331775106527006720,NCAA PAC 12,11,76460245878456320,seniormeow,2,SOUTH,1,1,229.3,209.78
2026,1331775106527006720,NCAA PAC 12,12,450806182555152384,lmerkouSaints,2,SOUTH,2,0,312.5,240.34
2026,1331774915392577536,NCAA ACC,1,571754879825395712,ChrisW21,2,COASTAL,2,0,311.04,207.38
2026,1331774915392577536,NCAA ACC,2,568115266901286912,MattyBent,2,COASTAL,0,2,232.5,294.08
2026,1331774915392577536,NCAA ACC,3,870105403659309056,spendawg,2,COASTAL,2,0,284.18,229.76
2026,1331774915392577536,NCAA ACC,4,455836851501002752,landonh12,2,COASTAL,0,2,209.68,295.06
2026,1331774915392577536,NCAA ACC,5,468618720470626304,Yarby,1,ATLANTIC,2,0,326.88,284.6
2026,1331774915392577536,NCAA ACC,6,463453800313647104,WhiskyScientist,1,ATLANTIC,1,1,288.98,293.92
2026,1331774915392577536,NCAA ACC,7,453658285061435392,fatalbeast,2,COASTAL,1,1,258.08,281.24
2026,1331774915392577536,NCAA ACC,8,456168604006608896,eperedetto,1,ATLANTIC,0,2,258.94,291.38
2026,1331774915392577536,NCAA ACC,9,668318967567323136,markandrewsisthegoat,2,COASTAL,1,1,275.16,263.12
2026,1331774915392577536,NCAA ACC,10,1357479935924510720,EerieHush,1,ATLANTIC,1,1,283.36,353.94
2026,1331774915392577536,NCAA ACC,11,458070829909929984,Campbell8,1,ATLANTIC,0,2,243.32,303.48
2026,1331774915392577536,NCAA ACC,12,302575527556825088,dilbennett,1,ATLANTIC,2,0,332.94,207.1
2026,1331774880181399552,NCAA BIG 12,1,,Unknown,1,HEAT,0,2,247.28,303.28
2026,1331774880181399552,NCAA BIG 12,2,667752373111824384,trev7293,2,WIND,1,1,232.72,191.0
2026,1331774880181399552,NCAA BIG 12,3,533541056352481280,DavidJimm,2,WIND,2,0,216.3,160.48
2026,1331774880181399552,NCAA BIG 12,4,425362114291437568,deadheadshane,1,HEAT,0,2,259.26,370.72
