Team,League,Roster ID,Default Image,Division Name
Air Force,NCAA MOUNTAIN WEST,4,https://1000logos.net/wp-content/uploads/2022/01/Air-Force-Falcons-logo.png,Sin
Alabama,NCAA SEC,11,https://1000logos.net/wp-content/uploads/2018/03/Alabama-Crimson-Tide-Logo.png,West
Alabama A&M,NCAA HISTORICALLY BLACK,2,https://1000logos.net/wp-content/uploads/2019/08/Alabama-AM-Bulldogs-Logo.png,Mississippi River
Alcorn State,NCAA HISTORICALLY BLACK,8,https://1000logos.net/wp-content/uploads/2021/06/Alcorn-State-Braves-logo.png,Mississippi River
Arizona,NCAA PAC 12,1,https://1000logos.net/wp-content/uploads/2021/06/Arizona-Wildcats-logo.png,South
Arizona State,NCAA PAC 12,7,https://1000logos.net/wp-content/uploads/2021/06/Arizona-State-Sun-Devils-logo.png,South
Arkansas,NCAA SEC,12,https://1000logos.net/wp-content/uploads/2021/06/Arkansas-Razorbacks-logo.png,West
Arkansas State,NCAA USA,8,https://1000logos.net/wp-content/uploads/2021/06/Arkansas-State-Red-Wolves-logo.png,Twister
Army,NCAA BIG EAST & CO.,8,https://1000logos.net/wp-content/uploads/2021/06/Army-Black-Knights-logo.png,Northeast
Auburn,NCAA SEC,4,https://1000logos.net/wp-content/uploads/2021/06/Auburn-Tigers-logo.png,West
Austin Peay,NCAA PIONEER,9,https://1000logos.net/wp-content/uploads/2021/06/Austin-Peay-Governors-logo.png,Patriot
Baylor,NCAA BIG 12,5,https://1000logos.net/wp-content/uploads/2021/06/Baylor-Bears-logo.png,Heat
Belmont,NCAA OHIO VALLEY,1,https://1000logos.net/wp-content/uploads/2021/06/Belmont-Bruins-logo.png,Southern
Bethune - Cookman,NCAA HISTORICALLY BLACK,9,https://1000logos.net/wp-content/uploads/2021/06/Bethune-Cookman-Wildcats-logo.png,Hurricane
Boise State,NCAA MOUNTAIN WEST,2,https://1000logos.net/wp-content/uploads/2021/06/Boise-State-Broncos-logo.png,Sin
Boston College,NCAA ACC,8,https://1000logos.net/wp-content/uploads/2021/06/Boston-College-Eagles-logo.png,Atlantic
Brown,NCAA IVY,1,https://1000logos.net/wp-content/uploads/2022/05/Brown-Bears-Logo.png,Rich
Bucknell,NCAA IVY,3,https://1000logos.net/wp-content/uploads/2022/04/Bucknell-Bison-Logo.png,Rich
Butler,NCAA PIONEER,4,https://1000logos.net/wp-content/uploads/2022/04/Butler-Bulldogs-Logo.png,Freedom
BYU,NCAA MOUNTAIN WEST,6,https://logos-world.net/wp-content/uploads/2022/11/Brigham-Young-Cougars-Logo.png,Sin
California,NCAA PAC 12,10,https://1000logos.net/wp-content/uploads/2024/03/California-Golden-Bears-Logo.png,North
Campbell,NCAA PIONEER,8,https://1000logos.net/wp-content/uploads/2022/04/Campbell-Fighting-Camels-Logo.png,Freedom
Central Arkansas,NCAA WILD,9,https://1000logos.net/wp-content/uploads/2022/03/Central-Arkansas-Bears-Logo.png,Plains
Central Michigan,NCAA WILD,4,https://1000logos.net/wp-content/uploads/2022/03/Central-Michigan-Chippewas-Logo.png,Valley
