Year,LeagueID,LeagueName,Week,TransactionID,Type,RosterIDs,OwnerIDs,Picks,Adds,Drops,Status,Created
2021,652823294856224768,NCAA PAC 12,1,743102568095408128,free_agent,[12],['450806182555152384'],[],{'4443': 12},{'5128': 12},complete,1631531967713
2021,652823294856224768,NCAA PAC 12,1,743102084731252736,free_agent,[12],['450806182555152384'],[],{'7066': 12},{'6954': 12},complete,1631531852470
2021,652823294856224768,NCAA PAC 12,1,743006737900126208,free_agent,[10],['534619662650601472'],[],{'6528': 10},,complete,1631509120014
2021,652823294856224768,NCAA PAC 12,1,742858730697342976,free_agent,[7],['597246797479469056'],[],{'5154': 7},{'7713': 7},complete,1631473832347
2021,652823294856224768,NCAA PAC 12,1,742701706915205120,free_agent,[8],['449317906098941952'],[],{'5113': 8},,complete,1631436394960
2021,652823294856224768,NCAA PAC 12,1,742210161388695552,free_agent,[8],['449317906098941952'],[],,{'4111': 8},complete,1631319201374
2021,652823294856224768,NCAA PAC 12,1,741761459415076864,free_agent,[7],['597246797479469056'],[],,{'5154': 7},complete,1631212222487
2021,652823294856224768,NCAA PAC 12,1,741760795628716032,trade,"[1, 3]","['437465313911500800', '470320542868566016']",[],"{'536': 1, '7569': 3, 'ARI': 3}","{'536': 3, '7569': 1, 'ARI': 1}",complete,1631212064228
2021,652823294856224768,NCAA PAC 12,1,741758665882832896,trade,"[3, 7]","['470320542868566016', '597246797479469056']","[{'round': 3, 'season': '2022', 'league_id': None, 'roster_id': 3, 'owner_id': 7, 'previous_owner_id': 3}, {'round': 2, 'season': '2022', 'league_id': None, 'roster_id': 7, 'owner_id': 3, 'previous_owner_id': 7}]",{'CLE': 7},{'CLE': 3},complete,1631211556457
2021,652823294856224768,NCAA PAC 12,1,741727313212911616,free_agent,[3],['470320542868566016'],[],{'6857': 3},,complete,1631204081398
2021,652823294856224768,NCAA PAC 12,1,741725871920046080,free_agent,[3],['470320542868566016'],[],{'4574': 3},{'5845': 3},complete,1631203737767
2021,652823294856224768,NCAA PAC 12,1,741136440792068096,free_agent,[12],['450806182555152384'],[],,{'5117': 12},complete,1631063206435
2021,652823294856224768,NCAA PAC 12,1,741136359351267328,free_agent,[12],['450806182555152384'],[],,{'5101': 12},complete,1631063187018
2021,652823294856224768,NCAA PAC 12,1,741136173975707648,free_agent,[12],['450806182555152384'],[],,{'1984': 12},complete,1631063142821
2021,652823294856224768,NCAA PAC 12,1,741102442179174400,free_agent,[11],['76460245878456320'],[],{'2168': 11},{'3827': 11},complete,1631055100534
2021,652823294856224768,NCAA PAC 12,1,741021364693143552,free_agent,[3],['470320542868566016'],[],{'7603': 3},{'6857': 3},complete,1631035770155
2021,652823294856224768,NCAA PAC 12,1,740632827208736768,free_agent,[11],['76460245878456320'],[],{'8085': 11},{'7088': 11},complete,1630943135600
2021,652823294856224768,NCAA PAC 12,1,739303650849103872,free_agent,[12],['450806182555152384'],[],{'7617': 12},{'7038': 12},complete,1630626235261
2021,652823294856224768,NCAA PAC 12,1,739303414416162816,free_agent,[12],['450806182555152384'],[],{'8040': 12},{'1099': 12},complete,1630626178891
2021,652823294856224768,NCAA PAC 12,1,739303141635473408,free_agent,[12],['450806182555152384'],[],{'7839': 12},{'2944': 12},complete,1630626113855
2021,652823294856224768,NCAA PAC 12,1,739302839964319744,free_agent,[12],['450806182555152384'],[],{'5692': 12},,complete,1630626041931
2021,652823294856224768,NCAA PAC 12,1,739302630043594752,free_agent,[12],['450806182555152384'],[],{'5823': 12},,complete,1630625991882
2021,652823294856224768,NCAA PAC 12,1,739302594220036096,free_agent,[12],['450806182555152384'],[],{'6650': 12},,complete,1630625983341
2021,652823294856224768,NCAA PAC 12,1,739302405438586880,free_agent,[12],['450806182555152384'],[],{'3909': 12},{'2039': 12},complete,1630625938332
2021,652823294856224768,NCAA PAC 12,1,739264264510054400,free_agent,[4],['477666723663704064'],[],,{'6822': 4},complete,1630616844826
2021,652823294856224768,NCAA PAC 12,1,739264030207873024,free_agent,[4],['477666723663704064'],[],,{'1502': 4},complete,1630616788964
2021,652823294856224768,NCAA PAC 12,1,738938644739555328,free_agent,[3],['470320542868566016'],[],{'6395': 3},{'6919': 3},complete,1630539211023
2021,652823294856224768,NCAA PAC 12,1,738937126737113088,free_agent,[3],['470320542868566016'],[],{'7529': 3},{'3503': 3},complete,1630538849103
2021,652823294856224768,NCAA PAC 12,1,738929052483772416,free_agent,[7],['597246797479469056'],[],{'7713': 7},,complete,1630536924052
2021,652823294856224768,NCAA PAC 12,1,738589750600081408,trade,"[4, 11]","['477666723663704064', '76460245878456320']","[{'round': 3, 'season': '2024', 'league_id': None, 'roster_id': 4, 'owner_id': 11, 'previous_owner_id': 4}]","{'3161': 11, '4068': 4}","{'3161': 4, '4068': 11}",complete,1630456028178
2021,652823294856224768,NCAA PAC 12,1,738589126672154624,free_agent,[4],['477666723663704064'],[],{'3634': 4},{'2168': 4},complete,1630455879422
2021,652823294856224768,NCAA PAC 12,1,738386217565093888,free_agent,[8],['449317906098941952'],[],,{'695': 8},complete,1630407502121
2021,652823294856224768,NCAA PAC 12,1,738386020999016448,free_agent,[8],['449317906098941952'],[],{'5272': 8},{'899': 8},complete,1630407455256
2021,652823294856224768,NCAA PAC 12,1,738385691163115520,free_agent,[8],['449317906098941952'],[],{'7083': 8},{'110': 8},complete,1630407376617
2021,652823294856224768,NCAA PAC 12,1,738242951100162048,free_agent,[4],['477666723663704064'],[],{'7535': 4},{'4233': 4},complete,1630373344734
2021,652823294856224768,NCAA PAC 12,1,738242435607580672,free_agent,[4],['477666723663704064'],[],{'7602': 4},,complete,1630373221831
2021,652823294856224768,NCAA PAC 12,1,738242146477432832,free_agent,[4],['477666723663704064'],[],{'650': 4},{'6528': 4},complete,1630373152897
2021,652823294856224768,NCAA PAC 12,1,738241866356686848,free_agent,[4],['477666723663704064'],[],{'5133': 4},{'7103': 4},complete,1630373086111
2021,652823294856224768,NCAA PAC 12,1,738241769111724032,free_agent,[4],['477666723663704064'],[],{'3327': 4},{'5915': 4},complete,1630373062926
2021,652823294856224768,NCAA PAC 12,1,738241682524504064,free_agent,[4],['477666723663704064'],[],{'7944': 4},{'4464': 4},complete,1630373042282
2021,652823294856224768,NCAA PAC 12,1,737511491560943616,free_agent,[7],['597246797479469056'],[],{'5938': 7},{'5310': 7},complete,1630198951190
2021,652823294856224768,NCAA PAC 12,1,737482796032999424,free_agent,[8],['449317906098941952'],[],{'7098': 8},{'184': 8},complete,1630192109643
2021,652823294856224768,NCAA PAC 12,1,737187579778256896,free_agent,[4],['477666723663704064'],[],{'7703': 4},{'4949': 4},complete,1630121724603
2021,652823294856224768,NCAA PAC 12,1,737187412723261440,free_agent,[4],['477666723663704064'],[],{'7597': 4},,complete,1630121684774
2021,652823294856224768,NCAA PAC 12,1,737187379529539584,free_agent,[4],['477666723663704064'],[],,{'2346': 4},complete,1630121676860
2021,652823294856224768,NCAA PAC 12,1,737168615966658560,free_agent,[10],['534619662650601472'],[],{'7729': 10},,complete,1630117203278
2021,652823294856224768,NCAA PAC 12,1,737168280392974336,free_agent,[7],['597246797479469056'],[],{'2161': 7},,complete,1630117123271
2021,652823294856224768,NCAA PAC 12,1,737168233945251840,free_agent,[10],['534619662650601472'],[],{'7771': 10},{'3594': 10},complete,1630117112197
2021,652823294856224768,NCAA PAC 12,1,737167897935405056,free_agent,[10],['534619662650601472'],[],{'7595': 10},{'6956': 10},complete,1630117032086
2021,652823294856224768,NCAA PAC 12,1,737165935378558976,free_agent,[10],['534619662650601472'],[],,{'4863': 10},complete,1630116564176
2021,652823294856224768,NCAA PAC 12,1,736422068312281088,free_agent,[4],['477666723663704064'],[],,{'7603': 4},complete,1629939212447
2021,652823294856224768,NCAA PAC 12,1,736421920001691648,free_agent,[4],['477666723663704064'],[],{'7603': 4},{'5121': 4},complete,1629939177087
2021,652823294856224768,NCAA PAC 12,1,736409971134173184,trade,"[7, 10]","['597246797479469056', '534619662650601472']",[],"{'7606': 10, '7611': 10}","{'7606': 7, '7611': 7}",complete,1629936328255
